0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:23:50 +0200] "GET /helloweb/toto/w HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:24:02 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 404 2890
127.0.0.1 - - [13/Apr/2018:09:24:27 +0200] "GET / HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:24:27 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 404 2849
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:25:27 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 500 1850
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:25:49 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 404 2890
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:26:27 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 404 2787
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:26:43 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 404 2787
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:26:52 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 404 442
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:27:12 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 201 442
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:37:12 +0200] "GET /helloweb/HelloServlet HTTP/1.1" 201 545
127.0.0.1 - - [13/Apr/2018:09:37:12 +0200] "GET / HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:37:12 +0200] "GET /helloweb/HelloHtmlServlet HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:37:13 +0200] "GET /helloweb//HelloHtmlServlet HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:38:04 +0200] "GET /helloweb//HelloHtmlServlet HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:38:27 +0200] "GET /helloweb//HelloHtmlServlet HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:39:38 +0200] "GET /helloweb//HelloHtmlServlet HTTP/1.1" 200 39
